Property Flooding / Grading,Inspections,Phone,2019-11-26 10:21,2##,MOY,WARD 4
Property Flooding / Grading,Inspections,E-Mail,2019-01-03 10:23,65##,CANTELON,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-01-04 10:51,18##,BALFOUR,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-02-20 11:18,8##,ELLROSE,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-02-04 15:18,35##,BRUCE,WARD 1
Property Flooding / Grading,Inspections,Phone,2019-01-22 11:27,12##,PELISSIER,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-01-17 16:56,22##,WINDERMERE,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-01-15 9:08,12##,PELISSIER,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-01-23 11:12,32##,CLEMENCEAU,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-03-18 13:25,60##,EMPRESS,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-03-20 10:56,9##,UNIVERSITY,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-04-23 14:08,30##,CLEMENCEAU,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-05-01 13:30,3##,ST JOHN,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-01-30 13:52,65##,CANTELON,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-08-16 11:10,17##,BALFOUR,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-08-22 14:23,5##,JANETTE,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-08-22 14:24,5##,GILES,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-05-01 13:11,30##,LONGFELLOW,WARD 1
Property Flooding / Grading,Inspections,Phone,2019-05-01 17:01,8##,ELLROSE,WARD 5
Property Flooding / Grading,Inspections,E-Mail,2019-09-03 16:01,8##,JOS JANISSE,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-05-27 9:37,9##,PARKVIEW,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-27 15:42,9##,PARKVIEW,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-06 10:00,10##,FREDERICA,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-05-06 15:12,70##,WYANDOTTE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-04-26 8:44,7##,CHARLES,WARD 10
Property Flooding / Grading,Inspections,Phone,2019-05-01 9:28,11##,ESDRAS,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-02-20 9:22,985##,COLLEGE,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-06-21 10:40,10##,FAIRVIEW,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-29 9:14,16##,FERNDALE,WARD 8
